_id,id,name,epochUnixTime,mjday,mjfrac,dist,az,el
"""643d8a2510983e0011f3548e""",4,IPEV_Ny_Alesund,1681205628.0589442,60045,34428.058944,472.4539972692071,83.35516237020079,69.0853238069191
"""643d8a2510983e0011f35490""",4,IPEV_Ny_Alesund,1681205618.0589442,60045,34418.058944,495.29714111026055,68.87709168236273,63.28777533085898
"""643d8a2510983e0011f35492""",4,IPEV_Ny_Alesund,1681205658.0589437,60045,34458.058944,472.38420343774857,163.45305378372345,69.08225006407628
"""643d8a2510983e0011f35494""",4,IPEV_Ny_Alesund,1681205638.0589437,60045,34438.058944,460.5941807488397,107.7637016864221,73.08748624038836
"""643d8a2510983e0011f35496""",4,IPEV_Ny_Alesund,1681205648.0589442,60045,34448.058944,460.5698326687501,139.04173165240326,73.08685517924798
"""643d8a2510983e0011f35499""",4,IPEV_Ny_Alesund,1681211178.0589442,60045,39978.058944,497.6640152775541,334.4287733953697,62.78234569619052
"""643d8a2510983e0011f3549a""",4,IPEV_Ny_Alesund,1681205668.0589442,60045,34468.058944,495.1906936192354,177.93302725973348,63.280428789469866
"""643d8a2510983e0011f3549f""",4,IPEV_Ny_Alesund,1681211188.0589442,60045,39988.058944,498.04090003223126,316.1231217314855,62.70046827944287
"""643d8a2510983e0011f354b3""",4,IPEV_Ny_Alesund,1681227748.0589442,60045,56548.058944,499.8047890604893,40.04384139193343,62.188611258029994
"""643d8a2510983e0011f354d6""",4,IPEV_Ny_Alesund,1681233318.0589437,60045,62118.058944,498.67425050080743,294.96064743370005,62.392331144324245
"""643d8a2510983e0011f354dc""",4,IPEV_Ny_Alesund,1681233308.0589442,60045,62108.058944,473.29412722338606,282.3895113615533,68.59005706757462
"""643d8a2510983e0011f35506""",4,IPEV_Ny_Alesund,1681233298.0589437,60045,62098.058944,458.6770106240695,259.82552918278975,73.49836510021456
"""643d8a2510983e0011f3550c""",4,IPEV_Ny_Alesund,1681233278.0589437,60045,62078.058944,465.0683029597038,198.39913703915147,71.0938351407666
"""643d8a2510983e0011f35512""",4,IPEV_Ny_Alesund,1681233268.0589442,60045,62068.058944,485.61061982066894,181.98493167768407,65.2270983166685
"""643d8a2510983e0011f3551e""",4,IPEV_Ny_Alesund,1681233288.0589442,60045,62088.058944,455.86295211155675,226.6609482725583,74.62672120354642

