_id,id,name,epochUnixTime,mjday,mjfrac,dist,az,el
"""643d8a2510983e0011f354ab""",25,Baikonur,1681227198.0589442,60045,55998.058944,503.75094353093596,338.86582579741577,59.68577161718328
"""643d8a2510983e0011f354b0""",25,Baikonur,1681227208.0589437,60045,56008.058944,545.8890902666712,340.875516129904,53.09625584710283
"""643d8a2510983e0011f354b1""",25,Baikonur,1681227138.0589442,60045,55938.058944,472.82211219703527,179.3768928562096,66.18041226879207
"""643d8a2510983e0011f354b6""",25,Baikonur,1681227118.0589437,60045,55918.058944,550.635857051485,174.20059077432973,52.210593771472794
"""643d8a2510983e0011f354b9""",25,Baikonur,1681227188.0589437,60045,55988.058944,469.81017349830097,335.28981430421464,67.23815769642206
"""643d8a2510983e0011f354bc""",25,Baikonur,1681227128.0589442,60045,55928.058944,507.7118563530981,176.08750076698396,58.710295214989245
"""643d8a2510983e0011f354be""",25,Baikonur,1681227168.0589437,60045,55968.058944,433.8526786324768,296.78526322223405,83.35856080152726
"""643d8a2510983e0011f354c2""",25,Baikonur,1681227148.0589437,60045,55948.058944,447.8481800910383,186.52752315212868,74.43890153764214
"""643d8a2510983e0011f354c4""",25,Baikonur,1681227178.0589442,60045,55978.058944,445.9523606839017,327.1976819407681,75.53277910055716
"""643d8a2510983e0011f354c7""",25,Baikonur,1681227158.0589442,60045,55958.058944,434.5014078710484,211.22001612135966,82.53629613270512

