_id,id,name,epochUnixTime,mjday,mjfrac,dist,az,el
"""643d8a2510983e0011f354ce""",22,Bagdad,1681232528.0589442,60045,61328.058944,495.2111021054413,201.6481028935794,60.413753121615926
"""643d8a2510983e0011f354e7""",22,Bagdad,1681232598.0589442,60045,61398.058944,547.7994786699529,326.14089459198465,52.299312071451354
"""643d8a2510983e0011f35523""",22,Bagdad,1681232548.0589437,60045,61348.058944,452.335655234966,234.78639991382767,71.48983284972273
"""643d8a2510983e0011f35529""",22,Bagdad,1681232578.0589442,60045,61378.058944,477.6419405748138,309.91611305976335,64.34879999297368
"""643d8a2510983e0011f3552f""",22,Bagdad,1681232518.0589437,60045,61318.058944,531.4594896248287,194.29489226492942,54.34246853075196
"""643d8a2510983e0011f35535""",22,Bagdad,1681232508.0589442,60045,61308.058944,575.2667877705898,189.51749697750643,48.816186061650505
"""643d8a2510983e0011f3553b""",22,Bagdad,1681232538.0589442,60045,61338.058944,468.28100783662944,213.83970334459633,66.54824076640412
"""643d8a2510983e0011f3554e""",22,Bagdad,1681232568.0589437,60045,61368.058944,457.2084387321561,292.73533739183625,69.93361494196066
"""643d8a2510983e0011f35554""",22,Bagdad,1681232558.0589442,60045,61358.058944,448.54541990380216,265.1532735480415,72.96501861031676
"""643d8a2510983e0011f3555a""",22,Bagdad,1681232588.0589437,60045,61388.058944,508.42194232788006,319.93129139329835,58.17117534195556

