_id,id,name,epochUnixTime,mjday,mjfrac,dist,az,el
"""643d8a2410983e0011f353e2""",5,IPEV_Dumont_DUrville,1681163248.0589442,60044,78448.058944,456.1304136435792,31.40134241542927,81.39387225837586
"""643d8a2410983e0011f353e5""",5,IPEV_Dumont_DUrville,1681163218.0589437,60044,78418.058944,476.056860917483,193.88062340502518,71.6140665502757
"""643d8a2410983e0011f353e7""",5,IPEV_Dumont_DUrville,1681163208.0589437,60044,78408.058944,504.88959780120337,195.70277101240305,63.81330746800778
"""643d8a2410983e0011f353ed""",5,IPEV_Dumont_DUrville,1681163268.0589442,60044,78468.058944,500.87163690390264,23.086064988730755,64.93443484769494
"""643d8a2410983e0011f353ef""",5,IPEV_Dumont_DUrville,1681163258.0589437,60044,78458.058944,473.2299387709561,25.13520173726556,72.82999678764874
"""643d8a2410983e0011f353f3""",5,IPEV_Dumont_DUrville,1681163228.0589442,60044,78428.058944,457.5954316501959,188.8006839546822,80.12630863832713
"""643d8a2410983e0011f35400""",5,IPEV_Dumont_DUrville,1681163238.0589437,60044,78438.058944,450.78008183880536,129.19519407271878,88.06130541416432
"""643d8a2510983e0011f35497""",5,IPEV_Dumont_DUrville,1681214198.0589437,60045,42998.058944,509.71423105203877,332.7083047190933,62.50275857074548
"""643d8a2510983e0011f3549d""",5,IPEV_Dumont_DUrville,1681214208.0589442,60045,43008.058944,479.23751489226464,328.9022540494906,70.04648999715619
"""643d8a2510983e0011f354a1""",5,IPEV_Dumont_DUrville,1681214248.0589442,60045,43048.058944,468.55666184696673,176.21918671948447,73.44925662464745
"""643d8a2510983e0011f354a3""",5,IPEV_Dumont_DUrville,1681214228.0589442,60045,43028.058944,450.0110838993044,274.96045543585967,85.153436860742
"""643d8a2510983e0011f354a5""",5,IPEV_Dumont_DUrville,1681214218.0589437,60045,43018.058944,458.87592598533683,319.457299354656,78.17248955363488
"""643d8a2510983e0011f354a7""",5,IPEV_Dumont_DUrville,1681214258.0589437,60045,43058.058944,494.6138243609969,170.8789738148638,65.56484097414572
"""643d8a2510983e0011f354a9""",5,IPEV_Dumont_DUrville,1681214238.0589437,60045,43038.058944,453.32291615401,192.6972451131639,81.57145262426859

