_id,id,name,epochUnixTime,mjday,mjfrac,dist,az,el
"""643d8a2510983e0011f3540a""",19,Kharkiv,1681194918.0589442,60045,23718.058944,499.2184791616664,302.526428130388,61.483065542307536
"""643d8a2510983e0011f3540f""",19,Kharkiv,1681194908.0589437,60045,23708.058944,515.185513394714,317.60191175395585,58.531631186286795
"""643d8a2510983e0011f35419""",19,Kharkiv,1681194948.0589437,60045,23748.058944,517.552832100868,252.4971846736581,58.02033038537158
"""643d8a2510983e0011f35422""",19,Kharkiv,1681194968.0589437,60045,23768.058944,579.9510561299073,233.54557586763755,49.459166533048474
"""643d8a2510983e0011f35427""",19,Kharkiv,1681194958.0589442,60045,23758.058944,544.5145016183579,241.52954071215174,53.87467574336306
"""643d8a2510983e0011f3542c""",19,Kharkiv,1681194938.0589442,60045,23738.058944,500.4375337146705,267.11187874733696,61.18037084834669
"""643d8a2510983e0011f35448""",19,Kharkiv,1681194898.0589442,60045,23698.058944,541.1191584536954,329.00999916524563,54.48743994254295
"""643d8a2510983e0011f35465""",19,Kharkiv,1681194928.0589437,60045,23728.058944,494.19105257470693,284.7109178669473,62.490002669801534
"""643d8a2510983e0011f35473""",19,Kharkiv,1681194888.0589442,60045,23688.058944,575.6676409129669,337.32291208097945,50.09969761374175
"""643d8a2510983e0011f354d5""",19,Kharkiv,1681232818.0589437,60045,61618.058944,453.91582620153974,100.42503458467168,72.55784085992616
"""643d8a2510983e0011f354db""",19,Kharkiv,1681232808.0589442,60045,61608.058944,469.4987173907904,121.90363651158283,67.47400672768558
"""643d8a2510983e0011f354e1""",19,Kharkiv,1681232788.0589442,60045,61588.058944,531.8449810785337,141.1179875034587,55.039274705516235
"""643d8a2510983e0011f3550b""",19,Kharkiv,1681232778.0589442,60045,61578.058944,575.2391810793787,145.6839163399273,49.434848288674516
"""643d8a2510983e0011f35524""",19,Kharkiv,1681232848.0589442,60045,61648.058944,479.7293663282551,22.84734376466622,65.01257323860636
"""643d8a2510983e0011f3552a""",19,Kharkiv,1681232828.0589442,60045,61628.058944,450.4047338486129,68.39993253719638,74.02801805320915
"""643d8a2510983e0011f35530""",19,Kharkiv,1681232868.0589437,60045,61668.058944,549.735056521594,7.307219183571533,52.78662202674069
"""643d8a2510983e0011f35536""",19,Kharkiv,1681232858.0589442,60045,61658.058944,510.46965872814445,13.196405716374557,58.72395866412783
"""643d8a2510983e0011f3553c""",19,Kharkiv,1681232838.0589437,60045,61638.058944,459.2382234287235,39.87418176216505,70.78579671769911
"""643d8a2510983e0011f35542""",19,Kharkiv,1681232798.0589437,60045,61598.058944,496.01938412264735,133.98779590618557,61.20933715187586

