_id,id,name,epochUnixTime,mjday,mjfrac,dist,az,el
"""643d8a2510983e0011f354c9""",18,Rostov,1681232748.0589437,60045,61548.058944,483.86581108925435,181.937141526067,63.60604392165734
"""643d8a2510983e0011f354cf""",18,Rostov,1681232828.0589442,60045,61628.058944,581.1878461994527,339.57813281074493,48.917486834289086
"""643d8a2510983e0011f354ed""",18,Rostov,1681232778.0589442,60045,61578.058944,434.79065365557284,268.7290049508046,82.80706620590524
"""643d8a2510983e0011f354f3""",18,Rostov,1681232768.0589437,60045,61568.058944,439.1657323036893,208.2915201717177,79.25698805232474
"""643d8a2510983e0011f354f9""",18,Rostov,1681232758.0589442,60045,61558.058944,455.95328202045005,189.16186911585865,71.44092711440189
"""643d8a2510983e0011f354ff""",18,Rostov,1681232738.0589442,60045,61538.058944,521.1198661509542,178.255198170622,56.5363316800859
"""643d8a2510983e0011f35505""",18,Rostov,1681232798.0589437,60045,61598.058944,463.66745387223665,328.67679715918575,69.147281916947
"""643d8a2510983e0011f35511""",18,Rostov,1681232818.0589437,60045,61618.058944,534.4876904995585,337.61618168161846,54.76065203138656
"""643d8a2510983e0011f35517""",18,Rostov,1681232808.0589442,60045,61608.058944,494.7152778460206,334.4788023807844,61.53069370754769
"""643d8a2510983e0011f3551d""",18,Rostov,1681232788.0589442,60045,61588.058944,443.1911727136829,314.8485854774195,77.11303564418878
"""643d8a2510983e0011f35548""",18,Rostov,1681232728.0589437,60045,61528.058944,565.8732218204452,176.03315846974903,50.3926832652513

