CIC_MEM_VERS = 1.0
CREATION_DATE  = 2012-03-29T11:35:51.924
ORIGINATOR     = CNES - DCT/SB/MS

META_START

OBJECT_NAME = CIC-Sat
OBJECT_ID = CIC-Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_ECLIPSE
TIME_SYSTEM = UTC

META_STOP

57578 1210.00000 0
57578 1220.00000 0
57578 1230.00000 0
57578 1240.00000 0
57578 1250.00000 0
57578 1260.00000 0
57578 1270.00000 0
57578 1280.00000 0
57578 1290.00000 0
57578 1300.00000 0
57578 1310.00000 0
57578 1320.00000 0
57578 1330.00000 0
57578 1340.00000 0
57578 1350.00000 0
57578 1360.00000 0
57578 1370.00000 0
57578 1380.00000 0
57578 1390.00000 0
57578 1400.00000 0
57578 1410.00000 0
57578 1420.00000 0
57578 1430.00000 0
57578 1440.00000 0
57578 1450.00000 0
57578 1460.00000 0
57578 1470.00000 0
57578 1480.00000 0
57578 1490.00000 0
57578 1500.00000 0
57578 1510.00000 0
57578 1520.00000 0
57578 1530.00000 0
57578 1540.00000 0
57578 1550.00000 0
57578 1560.00000 0
57578 1570.00000 0
57578 1580.00000 0
57578 1590.00000 0
57578 1600.00000 0
57578 1610.00000 0
57578 1620.00000 0
57578 1630.00000 0
57578 1640.00000 0
57578 1650.00000 0
57578 1660.00000 0
57578 1670.00000 0
57578 1680.00000 0
57578 1690.00000 0
57578 1700.00000 0
57578 1710.00000 0
57578 1720.00000 0
57578 1730.00000 0
57578 1740.00000 0
57578 1750.00000 0
57578 1760.00000 0
57578 1770.00000 0
57578 1780.00000 0
57578 1790.00000 0
57578 1800.00000 0
57578 1810.00000 0
57578 1820.00000 0
57578 1830.00000 0
57578 1840.00000 0
57578 1850.00000 0
57578 1860.00000 0
57578 1870.00000 0
57578 1880.00000 0
57578 1890.00000 0
57578 1900.00000 0
57578 1910.00000 0
57578 1920.00000 0
57578 1930.00000 0
57578 1940.00000 0
57578 1950.00000 0
57578 1960.00000 0
57578 1970.00000 0
57578 1980.00000 0
57578 1990.00000 0
57578 2000.00000 0
57578 2010.00000 0
57578 2020.00000 0
57578 2030.00000 0
57578 2040.00000 0
57578 2050.00000 0
57578 2060.00000 0
57578 2070.00000 0
57578 2080.00000 0
57578 2090.00000 0
57578 2100.00000 0
57578 2110.00000 0
57578 2120.00000 0
57578 2130.00000 0
57578 2140.00000 0
57578 2150.00000 0
57578 2160.00000 0
57578 2170.00000 0
57578 2180.00000 0
57578 2190.00000 0
57578 2200.00000 0
57578 2210.00000 0
57578 2220.00000 0
57578 2230.00000 0
57578 2240.00000 0
57578 2250.00000 0
57578 2260.00000 0
57578 2270.00000 0
57578 2280.00000 0
57578 2290.00000 0
57578 2300.00000 0
57578 2310.00000 0
57578 2320.00000 0
57578 2330.00000 0
57578 2340.00000 0
57578 2350.00000 0
57578 2360.00000 0
57578 2370.00000 0
57578 2380.00000 0
57578 2390.00000 0
57578 2400.00000 0
57578 2410.00000 0
57578 2420.00000 0
57578 2430.00000 0
57578 2440.00000 0
57578 2450.00000 0
57578 2460.00000 0
57578 2470.00000 0
57578 2480.00000 0
57578 2490.00000 0
57578 2500.00000 0
57578 2510.00000 0
57578 2520.00000 0
57578 2530.00000 0
57578 2540.00000 0
57578 2550.00000 0
57578 2560.00000 0
57578 2570.00000 0
57578 2580.00000 0
57578 2590.00000 0
57578 2600.00000 0
57578 2610.00000 0
57578 2620.00000 0
57578 2630.00000 0
57578 2640.00000 0
57578 2650.00000 0
57578 2660.00000 0
57578 2670.00000 0
57578 2680.00000 0
57578 2690.00000 0
57578 2700.00000 0
57578 2710.00000 0
57578 2720.00000 0
57578 2730.00000 0
57578 2740.00000 0
57578 2750.00000 0
57578 2760.00000 0
57578 2770.00000 0
57578 2780.00000 0
57578 2790.00000 0
57578 2800.00000 0
57578 2810.00000 0
57578 2820.00000 0
57578 2830.00000 0
57578 2840.00000 0
57578 2850.00000 0
57578 2860.00000 0
57578 2870.00000 0
57578 2880.00000 0
57578 2890.00000 0
57578 2900.00000 0
57578 2910.00000 0
57578 2920.00000 0
57578 2930.00000 0
57578 2940.00000 0
57578 2950.00000 0
57578 2960.00000 0
57578 2970.00000 0
57578 2980.00000 0
57578 2990.00000 0
57578 3000.00000 0
57578 3010.00000 0
57578 3020.00000 0
57578 3030.00000 0
57578 3040.00000 0
57578 3050.00000 0
57578 3060.00000 0
57578 3070.00000 0
57578 3080.00000 0
57578 3090.00000 0
57578 3100.00000 0
57578 3110.00000 0
57578 3120.00000 0
57578 3130.00000 0
57578 3140.00000 0
57578 3150.00000 0
57578 3160.00000 0
57578 3170.00000 0
57578 3180.00000 0
57578 3190.00000 0
57578 3200.00000 0
57578 3210.00000 0
57578 3220.00000 0
57578 3230.00000 0
57578 3240.00000 0
57578 3250.00000 0
57578 3260.00000 0
57578 3270.00000 0
57578 3280.00000 0
57578 3290.00000 0
57578 3300.00000 0
57578 3310.00000 0
57578 3320.00000 0
57578 3330.00000 0
57578 3340.00000 0
57578 3350.00000 0
57578 3360.00000 0
57578 3370.00000 0
57578 3380.00000 0
57578 3390.00000 0
57578 3400.00000 0
57578 3410.00000 0
57578 3420.00000 0
57578 3430.00000 0
57578 3440.00000 0
57578 3450.00000 0
57578 3460.00000 0
57578 3470.00000 0
57578 3480.00000 0
57578 3490.00000 0
57578 3500.00000 0
57578 3510.00000 0
57578 3520.00000 0
57578 3530.00000 0
57578 3540.00000 0
57578 3550.00000 0
57578 3560.00000 0
57578 3570.00000 0
57578 3580.00000 0
57578 3590.00000 0
57578 3600.00000 0
57578 3610.00000 0
57578 3620.00000 0
57578 3630.00000 0
57578 3640.00000 0
57578 3650.00000 0
57578 3660.00000 0
57578 3670.00000 0
57578 3680.00000 0
57578 3690.00000 0
57578 3700.00000 0
57578 3710.00000 0
57578 3720.00000 0
57578 3730.00000 0
57578 3740.00000 0
57578 3750.00000 0
57578 3760.00000 0
57578 3770.00000 0
57578 3780.00000 0
57578 3790.00000 0
57578 3800.00000 0
57578 3810.00000 0
57578 3820.00000 0
57578 3830.00000 0
57578 3840.00000 0
57578 3850.00000 0
57578 3860.00000 0
57578 3870.00000 0
57578 3880.00000 0
57578 3890.00000 0
57578 3900.00000 0
57578 3910.00000 0
57578 3920.00000 0
57578 3930.00000 0
57578 3940.00000 0
57578 3950.00000 0
57578 3960.00000 0
57578 3970.00000 0
57578 3980.00000 0
57578 3990.00000 0
57578 4000.00000 0
57578 4010.00000 0
57578 4020.00000 0
57578 4030.00000 0
57578 4040.00000 0
57578 4050.00000 0
57578 4060.00000 0
57578 4070.00000 0
57578 4080.00000 0
57578 4090.00000 0
57578 4100.00000 0
57578 4110.00000 0
57578 4120.00000 0
57578 4130.00000 0
57578 4140.00000 0
57578 4150.00000 0
57578 4160.00000 0
57578 4170.00000 0
57578 4180.00000 0
57578 4190.00000 0
57578 4200.00000 0
57578 4210.00000 0
57578 4220.00000 0
57578 4230.00000 0
57578 4240.00000 0
57578 4250.00000 0
57578 4260.00000 0
57578 4270.00000 0
57578 4280.00000 0
57578 4290.00000 0
57578 4300.00000 0
57578 4310.00000 0
57578 4320.00000 0
57578 4330.00000 0
57578 4340.00000 2
57578 4350.00000 1
57578 4360.00000 1
57578 4370.00000 1
57578 4380.00000 1
57578 4390.00000 1
57578 4400.00000 1
57578 4410.00000 1
57578 4420.00000 1
57578 4430.00000 1
57578 4440.00000 1
57578 4450.00000 1
57578 4460.00000 1
57578 4470.00000 1
57578 4480.00000 1
57578 4490.00000 1
57578 4500.00000 1
57578 4510.00000 1
57578 4520.00000 1
57578 4530.00000 1
57578 4540.00000 1
