CIC_MEM_VERS = 1.0
CREATION_DATE  = 2012-03-29T11:35:52.253
ORIGINATOR     = CNES - DCT/SB/MS

META_START

OBJECT_NAME = CIC-Sat
OBJECT_ID = CIC-Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = ROTATION_ANGLE_SA_1
TIME_SYSTEM = UTC

META_STOP

57578 2150.00000 0.00085
57578 2160.00000 0.00085
57578 2170.00000 0.00085
57578 2180.00000 0.00085
57578 2190.00000 0.00085
57578 2200.00000 0.00085
57578 2210.00000 0.00085
57578 2220.00000 0.00085
57578 2230.00000 0.00084
57578 2240.00000 0.00084
57578 2250.00000 0.00083
57578 2260.00000 0.00083
57578 2270.00000 0.00082
57578 2280.00000 0.00082
57578 2290.00000 0.00081
57578 2300.00000 0.00080
57578 2310.00000 0.00080
57578 2320.00000 0.00079
57578 2330.00000 0.00078
57578 2340.00000 0.00078
57578 2350.00000 0.00077
57578 2360.00000 0.00077
57578 2370.00000 0.00076
57578 2380.00000 0.00076
57578 2390.00000 0.00075
57578 2400.00000 0.00075
57578 2410.00000 0.00074
57578 2420.00000 0.00074
57578 2430.00000 0.00074
57578 2440.00000 0.00074
57578 2450.00000 0.00073
57578 2460.00000 0.00073
57578 2470.00000 0.00073
57578 2480.00000 0.00073
57578 2490.00000 0.00074
57578 2500.00000 0.00074
57578 2510.00000 0.00074
57578 2520.00000 0.00074
57578 2530.00000 0.00075
57578 2540.00000 0.00076
57578 2550.00000 0.00076
57578 2560.00000 0.00077
57578 2570.00000 0.00078
57578 2580.00000 0.00079
57578 2590.00000 0.00080
57578 2600.00000 0.00081
57578 2610.00000 0.00082
57578 2620.00000 0.00083
57578 2630.00000 0.00085
57578 2640.00000 0.00086
57578 2650.00000 0.00088
57578 2660.00000 0.00089
57578 2670.00000 0.00091
57578 2680.00000 0.00093
57578 2690.00000 0.00095
57578 2700.00000 0.00097
57578 2710.00000 0.00099
57578 2720.00000 0.00101
57578 2730.00000 0.00103
57578 2740.00000 0.00105
57578 2750.00000 0.00107
57578 2760.00000 0.00109
